,id,name,area_name,salary_from,salary_to,salary_ccy,salary_gross
15614,46802443,Программист 1C,Нижний Новгород,,,,
15616,46803475,Инженер-программист (декретная ставка),Иркутск,55000.0,,RUR,False
15617,46804595,Java-разработчик,Екатеринбург,,,,
15619,46804772,Full-stack developer (.net),Калининград,,,,
15620,46805410,Инженер-программист,Уфа,15000.0,,RUR,False
15621,46805482,"BI-разработчик/аналитик (QlikView, QlikSense)",Москва,,,,
15622,46805671,IOS-разработчик,Санкт-Петербург,,,,
15625,46806394,Специалист по сопровождению клиентов (со знанием английского языка),Казань,,,,
15627,46807178,Тестировщик,Москва,,,,
15631,46807419,Системный администратор,Новодвинск,25000.0,30000.0,RUR,True
15632,46807640,Специалист технической поддержки (удаленно),Санкт-Петербург,41000.0,,RUR,False
15635,46808948,Системный Аналитик (Интеграционная шина),Екатеринбург,,,,
15636,46809031,Программист 1С,Санкт-Петербург,,,,
15642,46809974,Специалист отдела технического сопровождения,Красноярск,30000.0,30000.0,RUR,False
15643,46810210,Системный администратор - инженер (Школа it),Нижний Новгород,,,,
15644,46810283,C# разработчик (MaxPatrol SIEM),Новосибирск,,,,
15650,46811118,Младший системный администратор,Москва,,,,
15651,46811415,Ведущий консультант SAP LO [id120314],Санкт-Петербург,,,,
15657,46812525,"Бизнес-аналитик в команду ""Партнёрские сервисы"" Ипотечного Стрима",Москва,,,,
15660,46813731,Инженер технической поддержки MS DAX,Москва,,,,
15667,46815558,Разработчик CRM,Москва,,,,
15669,46816578,Инженер по ручному тестированию программного обеспечения,Казань,,,,
15675,46817978,Java-разработчик,Санкт-Петербург,,,,
15677,46818131,Администратор систем Битрикс,Санкт-Петербург,,,,
15678,46818155,Программист/разработчик 1С,Санкт-Петербург,,,,
15679,46818170,Java-разработчик,Москва,,,,
15687,46819052,Back-End Developer (Ruby),Москва,,,,
15689,46819439,Java Developer,Томск,150000.0,250000.0,RUR,False
15690,46819788,Senior IOS developer,Москва,,,,
15691,46819789,Senior IOS developer,Санкт-Петербург,,,,
15692,46819930,Android developer,Москва,,250000.0,RUR,False
15697,46822022,Инженер-программист,Москва,,,,
15698,46822085,Web-разработчик,Москва,,,,
15699,46822095,Инженер-программист,Самара,,,,
15700,46822114,Инженер-программист,Иркутск,,,,
15701,46822653,Стажер в отдел технической поддержки,Москва,,,,
15702,46822967,Специалист 2-й линии тех.поддержки (ПО),Москва,60000.0,70000.0,RUR,True
15703,46823023,"Разработчик ERP (Microso‎ft Dynamics NAV/Navision - C/AL, Dynamics 365 Business Central)",Москва,,,,
15704,46823370,Backend-разработчик (бэкенд-разработчик),Челябинск,,,,
15705,46823489,Инженер удаленной поддержки пользователей,Екатеринбург,,,,
15706,46823627,Программист 1С,Екатеринбург,70000.0,100000.0,RUR,False
15707,46823837,Frontend-разработчик,Москва,,,,
15708,46823861,Python Back-end Разработчик / Python Back-end Developer,Санкт-Петербург,,,,
15709,46824249,Middle Java / Kotlin разработчик,Самара,130000.0,,RUR,False
15713,46825838,Инженер по тестированию ( функциональное),Москва,,,,
15714,46825880,Разработчик Битрикс24,Санкт-Петербург,,,,
15715,46825998,Программист-тестировщик 1С,Санкт-Петербург,,,,
15718,46826506,Системный администратор,Оренбург,30000.0,35000.0,RUR,True
15729,46828048,Помощник специалиста в отдел IT,Архангельск,,33000.0,RUR,True
15731,46828111,"C# developer junior / middle (.net, full-stack / back-end)",Москва,100000.0,220000.0,RUR,False
15734,46828540,Разработчик FPGA /ПЛИС (ПКД),Москва,,,,
15736,46828684,Специалист технической поддержки,Великий Новгород,25000.0,30000.0,RUR,False
15738,46829045,Java / JS Разработчик,Санкт-Петербург,,,,
15739,46829049,1С: Эксперт,Москва,,,,
