,id,area_name,address_lat,address_lng,employer_id,employer_name
38268,48569652,Тверь,56.89143,35.831281,3403877,Ключевые Системы и Компоненты
38274,48569822,Санкт-Петербург,,,733928,PWV Group
38275,48569870,Санкт-Петербург,59.925759,30.357128,733928,PWV Group
38279,48570065,Москва,,,906557,SberTech
38280,48570129,Москва,55.722857,37.561437,3977171,Центр Компетенций по Импортозамещению в сфере ИКТ
38281,48570205,Новокузнецк,53.768549,87.127824,3281177,"ТехноОпт, Новокузнецк"
38282,48570610,Москва,55.776137,37.673987,2652595,Bip.ru
38284,48570891,Москва,55.771839,37.605256,1111672,GeekBrains
38285,48570902,Пермь,58.015513,56.233117,863335,ЮТИП Технологии
38287,48571065,Самара,53.187391,50.083278,6198,CQG
38289,48571177,Санкт-Петербург,,,4931636,2people IT
38291,48571212,Санкт-Петербург,59.850988,30.308259,3015229,АРГОС УЧЕТ
38292,48571235,Тула,54.196014,37.604214,670607,"Здравсервис (Здесь Аптека, Твой Доктор)"
38296,48571315,Пермь,58.001771,56.261989,3469911,Eclipse Digital Studio
38299,48571350,Москва,,,91754,Volkswagen Group Finanz
38300,48571444,Москва,55.79013,37.380354,5674419,GRI
38305,48571561,Саратов,51.65098,46.046501,3280,ТехноНИКОЛЬ
38306,48571567,Москва,55.911537,37.542617,12170,Юниверс-софт
38307,48571589,Москва,,,4269199,WelbeX
38308,48571707,Санкт-Петербург,59.938559,30.384499,3358623,Санкт-Петербургский филиал компании ГАЗПРОМ Германия ГмбХ
38309,48571723,Новосибирск,,,4453454,Zefir Games
38311,48571848,Москва,55.740421,37.532071,3529,Сбербанк
38312,48571941,Москва,,,5531235,ZebraCall
38318,48572109,Тюмень,57.141207,65.539278,1237073,АТМ АЛЬЯНС
38319,48572294,Санкт-Петербург,59.922206,30.345414,1020627,Старлайнер
38321,48572360,Москва,55.722157,37.651556,490,"Ренессанс cтрахование, Группа"
38323,48572469,Симферополь,,,3697039,7 CоТ (ИП Фоменко Сергей Юрьевич)
38324,48572609,Санкт-Петербург,,,15589,HFLabs
38325,48572728,Москва,,,6189,Bell Integrator
38326,48572764,Нижний Новгород,,,15589,HFLabs
38331,48572959,Москва,,,1428791,Кошелек.Ру
38333,48572987,Санкт-Петербург,59.970853,30.346438,1836057,Дока Фиш
38340,48573594,Москва,,,5076393,5POST
38341,48573627,Москва,,,2497484,Glassford Global
38343,48573637,Орел,52.980354,36.049231,798923,VOXYS
38345,48573871,Санкт-Петербург,,,62126,Sperasoft
38347,48574033,Москва,,,62126,Sperasoft
38348,48574041,Москва,,,4934,Билайн
38350,48574064,Москва,55.664472,37.599238,5333428,L’etoile Digital
38354,48574170,Санкт-Петербург,,,3934385,JetLend
38355,48574264,Москва,,,31110,Випсервис
38357,48574370,Санкт-Петербург,59.831245,30.344866,81077,oodji
38359,48574405,Москва,,,785362,Security Vision
38362,48574623,Краснодар,45.120846,38.98718,1133111,ОПТОВИК
38363,48574667,Москва,,,3776,МТС
38364,48574680,Воронеж,,,3976036,Студия Павла Яковлева
38367,48574783,Казань,,,8100,"САМСОН, ГРУППА КОМПАНИЙ"
38371,48574823,Краснодар,44.990905,38.955038,980172,Байк Центр
38374,48574920,Москва,55.658195,37.725388,1777295,ЛОГИКА СИСТЕМС
38375,48574990,Москва,55.792134,37.709623,6488,Зетта Страхование
38378,48575169,Ростов-на-Дону,47.253513,39.597109,3083,Эмпилс
38379,48575331,Москва,55.814553,37.693723,5283653,qWell
38382,48575464,Ульяновск,54.327488,48.39635,771552,ХайТэк Девелопмент Групп
38387,48575766,Москва,,,193245,INTECH
