,employer_name,conditions
418,Azoft,Корпоративный спорт
419,Azur Games,Гибкий график
420,Azur Games,ДМС
421,Azur Games,Корпоративный спорт
422,Azur Games,Оформление по ТК
423,Azur Games,Удаленка/гибрид
424,B-Nice,Удаленка/гибрид
425,B2B-Center,Гибкий график
426,B2B-Center,Корпоративный спорт
427,B2B-Center,Профессиональный рост
428,B2B-Center,Удаленка/гибрид
429,B2Broker,Гибкий график
430,B2Broker,ДМС
431,B2Broker,Оформление по ТК
432,BANZAI.GAMES,Оформление по ТК
433,BANZAI.GAMES,Удаленка/гибрид
434,BASTION,Удаленка/гибрид
435,BAY,Гибкий график
436,BAY,Современный стек
437,BBDO,Удаленка/гибрид
438,BCC Company,Оформление по ТК
439,BCC Company,Удаленка/гибрид
440,BELUGA GROUP,Оформление по ТК
441,BELUGA GROUP,Удаленка/гибрид
442,BFG Group,Agile-команда
443,BFG Group,Корпоративный спорт
444,BFG Group,Удаленка/гибрид
445,BI Consult,Гибкий график
446,BI Consult,Корпоративный спорт
447,BI Consult,Оформление по ТК
448,BI.ZONE,Гибкий график
449,BI.ZONE,Корпоративный спорт
450,BI.ZONE,Удаленка/гибрид
451,BIMeister,Agile-команда
452,BIMeister,Корпоративный спорт
453,BIMeister,Оформление по ТК
454,BINAGroup,Корпоративный спорт
455,BINAGroup,Оформление по ТК
456,BINAGroup,Удаленка/гибрид
457,BIRUZA ROSTOV,Удаленка/гибрид
458,BIV,Agile-команда
459,BMW,Agile-команда
460,BMW Атлас Краснодар,Оформление по ТК
461,BNS Group,Корпоративный английский
462,BNS Group,Корпоративный спорт
463,BORK,Профессиональный рост
464,"BOSCH, Казань",Удаленка/гибрид
465,BP Mobile,Гибкий график
466,BP Mobile,Корпоративный спорт
467,BP Mobile,Оформление по ТК
468,BP Mobile,Удаленка/гибрид
469,BR Lab,Гибкий график
470,BR Lab,Корпоративный спорт
471,BR Lab,Профессиональный рост
472,BR Lab,Удаленка/гибрид
473,BRIO MRS,Корпоративный спорт
474,BRIO MRS,Профессиональный рост
475,BSC Msc,Agile-команда
476,BSC Msc,Гибкий график
477,BSC Msc,Оформление по ТК
478,BSC Msc,Удаленка/гибрид
479,BSI Group,Удаленка/гибрид
480,BSL,Корпоративный спорт
481,BTLab,Удаленка/гибрид
482,BUILDING MATERIALS WHOLESALE LTD,Оформление по ТК
483,Baanx,Agile-команда
484,Babysmile Photography,Оформление по ТК
485,Badoo,ДМС
486,Badoo,Корпоративный спорт
487,"Baltic Logistics, Группа компаний",Оформление по ТК
488,Bambit - агентство цифровой трансформации,Гибкий график
489,Barter Smartplace,Удаленка/гибрид
490,Bauer,Оформление по ТК
491,Bcraft,Удаленка/гибрид
492,BeeJee,Удаленка/гибрид
493,Beezee Toys,Оформление по ТК
494,Beget,Оформление по ТК
495,BelVG,Гибкий график
496,BelVG,Корпоративный спорт
497,BelVG,Удаленка/гибрид
498,BelkaCar,Гибкий график
499,BelkaCar,Оформление по ТК
500,Bell Integrator,Agile-команда
501,Bell Integrator,Гибкий график
502,Bell Integrator,Корпоративный спорт
503,Bell Integrator,Оформление по ТК
504,Bell Integrator,Профессиональный рост
505,Bell Integrator,Удаленка/гибрид
506,Belle YOU,Оформление по ТК
507,Belle YOU,Удаленка/гибрид
508,Bellerage,Гибкий график
509,Bellerage,Корпоративный мобильный
510,Bellerage,Корпоративный спорт
511,Bellerage,Удаленка/гибрид
512,Beltel,ДМС
513,Benefactory,Удаленка/гибрид
514,Beorg,Корпоративный спорт
515,Beorg,Оформление по ТК
516,Bercut,Корпоративный спорт
517,Bercut,Удаленка/гибрид
518,BestDoctor,Гибкий график
519,BestDoctor,Удаленка/гибрид
520,BetBoom,Гибкий график
521,BetBoom,ДМС
522,BetBoom,Корпоративный спорт
523,Betterstore,Удаленка/гибрид
524,Big Data Technologies,Agile-команда
525,Big Data Technologies,ДМС
526,Big Data Technologies,Корпоративный спорт
527,BigAp,Корпоративный спорт
528,BigAp,Оформление по ТК
529,BigAp,Профессиональный рост
530,Binggrae (ИП Леонова Наталья Викторовна),Корпоративный спорт
531,Binggrae (ИП Леонова Наталья Викторовна),Оформление по ТК
532,Binom studio,Гибкий график
533,Binom studio,Оформление по ТК
534,Binom studio,Удаленка/гибрид
535,Biopic Medical LLC,Удаленка/гибрид
536,Bip.ru,Agile-команда
537,Bip.ru,ДМС
538,Bip.ru,Корпоративный спорт
539,Bip.ru,Оформление по ТК
540,Bip.ru,Почасовая оплата
541,Black Bears,Оформление по ТК
542,Black Bears,Удаленка/гибрид
543,BlackBricks,Agile-команда
544,BlackBricks,Гибкий график
545,BlackBricks,Оформление по ТК
546,Bladestorm,Корпоративный спорт
547,Bladestorm,Удаленка/гибрид
548,Blogman,Удаленка/гибрид
549,Boel IT Aps,Удаленка/гибрид
550,Bonava,ДМС
551,Bonava,Корпоративный мобильный
552,Bonava,Корпоративный спорт
553,Bookmate,Agile-команда
554,Bookmate,Гибкий график
555,Bookmate,ДМС
556,Bookmate,Удаленка/гибрид
557,Borzo,Agile-команда
558,Borzo,Гибкий график
559,Borzo,ДМС
560,Borzo,Удаленка/гибрид
561,Boxberry,Гибкий график
562,Boxberry,Корпоративный спорт
563,Boxberry,Оформление по ТК
564,Boxberry,Профессиональный рост
565,Boxberry,Удаленка/гибрид
566,Bquadro,Профессиональный рост
567,BrainShells,Agile-команда
568,BrainShells,Удаленка/гибрид
569,BrandPol Group,Оформление по ТК
570,Brandquad,ДМС
571,"Bright Pattern, Inc",Гибкий график
572,Bright Rich | CORFAC International,Оформление по ТК
573,Bright Rich | CORFAC International,Удаленка/гибрид
574,Brmsystems.com,Гибкий график
575,BroGames,Гибкий график
576,BroGames,Удаленка/гибрид
577,Broadridge,Agile-команда
578,Bronevik.com,Agile-команда
579,Bronevik.com,Оформление по ТК
580,Broniboy,Гибкий график
581,Bubulearn,Удаленка/гибрид
582,Burning Buttons,Гибкий график
583,Burning Buttons,Удаленка/гибрид
584,BusinessSoft Research,Оформление по ТК
585,BusinessSoft Research,Удаленка/гибрид
586,BuyTheWay,Оформление по ТК
587,BuyTheWay,Профессиональный рост
588,Buyk,Оформление по ТК
589,Buyk,Удаленка/гибрид
590,Byndyusoft,Agile-команда
591,Byndyusoft,Гибкий график
592,Byndyusoft,Корпоративный спорт
593,CAD Exchanger,Корпоративный спорт
594,CAD Exchanger,Удаленка/гибрид
595,CATAPULTO.RU,Оформление по ТК
596,CATAPULTO.RU,Удаленка/гибрид
597,CCS (Center of Corporate Solution),Гибкий график
598,CCS (Center of Corporate Solution),Корпоративный спорт
599,CCS (Center of Corporate Solution),Удаленка/гибрид
600,CENTURY21 (ООО Столичная Недвижимость),Оформление по ТК
601,CG Tribe,Корпоративный спорт
602,CHAMOVSKIKH Jewellery House,Оформление по ТК
603,CHATME.ai,Agile-команда
604,CHATME.ai,Удаленка/гибрид
605,CHEKKER,Оформление по ТК
606,CIOSensor,Корпоративный спорт
607,CIOSensor,Удаленка/гибрид
608,CLICKIO,Удаленка/гибрид
609,COMPAREX,Доп.дни отпуска
610,COMPAREX,Корпоративный мобильный
611,COMTEK Inc.,Гибкий график
612,COMTEK Inc.,Удаленка/гибрид
613,CORE,Agile-команда
614,CORE,Удаленка/гибрид
615,COZY HOME,Гибкий график
616,COZY HOME,Оформление по ТК
617,COZY HOME,Профессиональный рост
618,CQG,Корпоративный спорт
619,CRAFTER,Корпоративный спорт
620,CRAFTER,Удаленка/гибрид
621,CREDIX,Удаленка/гибрид
622,CRM ON,Удаленка/гибрид
623,CRMPROGRESS,Удаленка/гибрид
624,CRMguru,Корпоративный спорт
625,CRMguru,Оформление по ТК
626,CRMguru,Удаленка/гибрид
627,CS-Cart,Agile-команда
628,CS-Cart,Гибкий график
629,CS-Cart,Корпоративный спорт
630,CSBI,Гибкий график
631,CSBI,ДМС
632,CSBI,Корпоративный мобильный
633,CSBI,Корпоративный спорт
634,CSBI,Оформление по ТК
635,CSBI,Удаленка/гибрид
636,CSI (Кристалл Сервис Интеграция),Agile-команда
637,CSI (Кристалл Сервис Интеграция),Гибкий график
638,CSI (Кристалл Сервис Интеграция),ДМС
639,CSI (Кристалл Сервис Интеграция),Оформление по ТК
640,CSI (Кристалл Сервис Интеграция),Удаленка/гибрид
641,CSSSR,Agile-команда
642,CSoft Development,Гибкий график
643,CUSTIS,Удаленка/гибрид
644,CUSTOMERTIMES,Agile-команда
645,CUSTOMERTIMES,ДМС
646,CUSTOMERTIMES,Корпоративный английский
647,CUSTOMERTIMES,Корпоративный спорт
648,CUSTOMERTIMES,Оформление по ТК
649,CUSTOMERTIMES,Удаленка/гибрид
650,Callmedia,Корпоративный спорт
651,Callmedia,Оформление по ТК
652,Capgemini,Гибкий график
653,Capgemini,Корпоративный спорт
654,"Capgemini, Общий центр Обслуживания в г. Омске",Гибкий график
655,"Capgemini, Общий центр Обслуживания в г. Омске",Оформление по ТК
656,Capital Group,Оформление по ТК
657,Cappers Applications,Agile-команда
658,Cappers Applications,Удаленка/гибрид
659,CarMoney,Гибкий график
660,CarMoney,Удаленка/гибрид
661,CarX Technologies,Оформление по ТК
662,CarX Technologies,Удаленка/гибрид
663,Carcade Leasing,Корпоративный спорт
664,Carcade Leasing,Профессиональный рост
665,Carcade Leasing,Удаленка/гибрид
666,Carely,Гибкий график
667,Carprice,Удаленка/гибрид
668,CarrierX (ООО КерриерХ),Гибкий график
669,CarrierX (ООО КерриерХ),ДМС
670,Carrot quest,Удаленка/гибрид
671,Castorama Russia,Гибкий график
672,Castorama Russia,ДМС
673,Castorama Russia,Оформление по ТК
674,Cbonds.ru,Удаленка/гибрид
675,Chaplygin.BiZ,Agile-команда
676,Chaplygin.BiZ,Гибкий график
677,Chaplygin.BiZ,Удаленка/гибрид
678,ChinaToday,Оформление по ТК
679,Choose,Оформление по ТК
680,Choose,Удаленка/гибрид
681,"CiV Life, Strakhovaya Kompaniya",ДМС
682,Citeck,Гибкий график
683,Citeck,Корпоративный спорт
684,Citeck,Оформление по ТК
685,Citibank,ДМС
686,Citibank,Оформление по ТК
687,Citibank,Удаленка/гибрид
688,City Business School,Удаленка/гибрид
689,CityAds Media,Гибкий график
690,CityAds Media,Оформление по ТК
691,CityAds Media,Удаленка/гибрид
692,Clarus,Гибкий график
693,Clarus,Оформление по ТК
694,Clarus,Удаленка/гибрид
695,ClearScale,Удаленка/гибрид
696,Clever Technology,Оформление по ТК
697,Cleverbots,Оформление по ТК
698,Cleverics,Удаленка/гибрид
699,Click,Гибкий график
700,Click,ДМС
701,Click,Корпоративный спорт
702,Click,Оформление по ТК
703,Click,Удаленка/гибрид
704,Clicksco,Корпоративный спорт
705,Cloud Linux,Agile-команда
706,Cloud4Y,Оформление по ТК
707,Cloud4Y,Удаленка/гибрид
708,CloudAlly a Zix company,Agile-команда
709,CloudAlly a Zix company,Гибкий график
710,CloudAlly a Zix company,Корпоративный спорт
711,CloudAlly a Zix company,Оформление по ТК
712,CloudAware,Корпоративный спорт
713,CloudDC,Корпоративный спорт
714,CloudPayments,Гибкий график
715,CloudPayments,Корпоративный спорт
716,CloudPayments,Удаленка/гибрид
717,CoMagic.dev,Гибкий график
718,CoMagic.dev,Корпоративный спорт
719,CoMagic.dev,Удаленка/гибрид
720,CodeDrop,Гибкий график
721,CodeDrop,Корпоративный спорт
722,CodeInside,Профессиональный рост
723,Codemasters International,Гибкий график
724,Cogia,Удаленка/гибрид
725,Cognitive Pilot,Корпоративный спорт
726,Cognitive Pilot,Удаленка/гибрид
727,Collaborator.pro,Agile-команда
728,Collaborator.pro,Гибкий график
729,Columbus East,Гибкий график
730,Columbus East,Оформление по ТК
731,Columbus East,Удаленка/гибрид
732,Colvir Software Solutions,Удаленка/гибрид
733,Comindware,Agile-команда
734,Comindware,Гибкий график
735,Comindware,Удаленка/гибрид
736,Complex Systems,Гибкий график
